epoch,bleu_1,bleu_2,bleu_3,bleu_4,categorical_accuracy_wvt,cider,learning_rate,loss,meteor,rouge,ts_end,ts_start,val_bleu_1,val_bleu_2,val_bleu_3,val_bleu_4,val_categorical_accuracy_wvt,val_cider,val_loss,val_meteor,val_rouge
0,0.511192,0.268657,0.12189,0.061067,0.24036756878445545,0.144262,0.000505018,2.5512050033569338,0.15763,0.421157,2017-08-12 13:52:07.135724,2017-08-12 13:27:43.814518,0.505561,0.262117,0.118432,0.0581601,0.2981436975002289,0.144566,2.1314488479614258,0.153171,0.41352
1,0.511192,0.268657,0.12189,0.061067,0.32476378264427186,0.144262,0.000505018,2.0457716712951659,0.15763,0.421157,2017-08-12 14:04:25.210372,2017-08-12 13:52:07.138725,0.505561,0.262117,0.118432,0.0581601,0.34212006464004519,0.144566,1.9203832107543946,0.153171,0.41352
2,0.582521,0.338522,0.182587,0.102037,0.34919148445129394,0.275506,0.000505018,1.8795633199691772,0.191917,0.46696,2017-08-12 14:28:39.917710,2017-08-12 14:04:25.211584,0.577681,0.323958,0.167682,0.0912033,0.35522281923294069,0.263071,1.8141456398010254,0.186291,0.456193
3,0.582521,0.338522,0.182587,0.102037,0.36500863739649453,0.275506,0.000505018,1.7718035319646199,0.191917,0.46696,2017-08-12 14:40:56.069716,2017-08-12 14:28:39.919402,0.577681,0.323958,0.167682,0.0912033,0.36845686087608337,0.263071,1.7396108722686767,0.186291,0.456193
4,0.614531,0.377157,0.218544,0.129464,0.37652085510889688,0.371759,0.000505018,1.7082311586380006,0.208122,0.489802,2017-08-12 15:05:10.074426,2017-08-12 14:40:56.070931,0.602057,0.355505,0.200176,0.116254,0.37630912322998045,0.340319,1.7267996612548828,0.197452,0.470549
5,0.614531,0.377157,0.218544,0.129464,0.38451368563969929,0.371759,0.000505018,1.656464121691386,0.208122,0.489802,2017-08-12 15:17:25.361537,2017-08-12 15:05:10.075925,0.602057,0.355505,0.200176,0.116254,0.38057271332740783,0.340319,1.6717525764465333,0.197452,0.470549
6,0.627765,0.397779,0.236102,0.141113,0.39161534436543782,0.435687,0.000505018,1.6187983012517293,0.217337,0.501621,2017-08-12 15:41:34.028955,2017-08-12 15:17:25.362683,0.601458,0.360663,0.205061,0.117115,0.38400181074142459,0.356751,1.6842779762268068,0.200998,0.471706
7,0.627765,0.397779,0.236102,0.141113,0.39717678799629214,0.435687,0.000505018,1.5920847743988038,0.217337,0.501621,2017-08-12 15:53:47.354504,2017-08-12 15:41:34.030981,0.601458,0.360663,0.205061,0.117115,0.38804393205642701,0.356751,1.640715269470215,0.200998,0.471706
8,0.639198,0.411685,0.247556,0.148925,0.40104576406478881,0.476841,0.000505018,1.5673596602757771,0.222569,0.509513,2017-08-12 16:17:59.040638,2017-08-12 15:53:47.355694,0.60051,0.361667,0.203963,0.116196,0.38667532234191893,0.379931,1.6356475950241089,0.199865,0.470642
9,0.639198,0.411685,0.247556,0.148925,0.40433618615468342,0.476841,0.000505018,1.5498332694371542,0.222569,0.509513,2017-08-12 16:30:15.973557,2017-08-12 16:17:59.042206,0.60051,0.361667,0.203963,0.116196,0.39176709108352659,0.379931,1.6361112747192383,0.199865,0.470642
10,0.649167,0.423522,0.260483,0.158801,0.40688033450444538,0.513017,0.000505018,1.5387498922983804,0.227753,0.516118,2017-08-12 16:54:21.954019,2017-08-12 16:30:15.974646,0.617203,0.38049,0.223107,0.131327,0.39433444743156432,0.412518,1.6531510673522949,0.206585,0.481591
11,0.649167,0.423522,0.260483,0.158801,0.4112704136689504,0.513017,0.000505018,1.5161426147460937,0.227753,0.516118,2017-08-12 17:06:38.111566,2017-08-12 16:54:21.955661,0.617203,0.38049,0.223107,0.131327,0.3938957191467285,0.412518,1.6363263864517212,0.206585,0.481591
12,0.655036,0.431872,0.2667,0.163834,0.41329962089856465,0.535618,0.000505018,1.5068256053288778,0.232046,0.522913,2017-08-12 17:30:48.920195,2017-08-12 17:06:38.112685,0.615663,0.379414,0.224258,0.133703,0.40040884618759154,0.412336,1.623064429473877,0.208257,0.481919
13,0.655036,0.431872,0.2667,0.163834,0.41588511004447937,0.535618,0.000505018,1.4948589028040569,0.232046,0.522913,2017-08-12 17:43:05.698635,2017-08-12 17:30:48.921613,0.615663,0.379414,0.224258,0.133703,0.3968802700519562,0.412336,1.6218299407958985,0.208257,0.481919
14,0.660164,0.438647,0.271887,0.167871,0.41746119251251218,0.556554,0.000505018,1.4868233404159545,0.23506,0.527449,2017-08-12 18:07:11.570047,2017-08-12 17:43:05.699861,0.615787,0.377106,0.220808,0.131114,0.39732648286819455,0.419431,1.6141247257232667,0.205603,0.480867
15,0.660164,0.438647,0.271887,0.167871,0.42031877741813661,0.556554,0.000505018,1.4735652844111125,0.23506,0.527449,2017-08-12 18:19:27.773260,2017-08-12 18:07:11.571762,0.615787,0.377106,0.220808,0.131114,0.39825979642868042,0.419431,1.6288944105148315,0.205603,0.480867
16,0.66417,0.443556,0.2758,0.169958,0.42277491760253905,0.576904,0.000505018,1.4601143938064576,0.239265,0.53157,2017-08-12 18:43:45.078274,2017-08-12 18:19:27.774587,0.611272,0.379979,0.220522,0.126277,0.4013100199699402,0.423103,1.5988665399551392,0.209056,0.481212
17,0.66417,0.443556,0.2758,0.169958,0.42474295606613161,0.576904,0.000505018,1.4516782676060995,0.239265,0.53157,2017-08-12 18:56:00.500295,2017-08-12 18:43:45.079860,0.611272,0.379979,0.220522,0.126277,0.40055739974975585,0.423103,1.6105183555603027,0.209056,0.481212
18,0.673145,0.454698,0.286085,0.177001,0.42762126204172768,0.597739,0.000505018,1.4406645800272624,0.242478,0.53654,2017-08-12 19:20:22.166717,2017-08-12 18:56:00.501416,0.62443,0.392443,0.236392,0.140316,0.4038970289230347,0.446189,1.5915603404998779,0.212709,0.485827
19,0.673145,0.454698,0.286085,0.177001,0.42841982479095458,0.597739,0.000505018,1.4308665116628012,0.242478,0.53654,2017-08-12 19:32:40.156300,2017-08-12 19:20:22.168537,0.62443,0.392443,0.236392,0.140316,0.40277290458679199,0.446189,1.6034791851043702,0.212709,0.485827
20,0.674155,0.45906,0.291254,0.182692,0.43072254177729291,0.618931,0.000505018,1.4231576960245769,0.244358,0.542502,2017-08-12 19:56:57.020198,2017-08-12 19:32:40.157517,0.617524,0.38794,0.229228,0.134489,0.40450596742630007,0.438342,1.6007185646057129,0.208064,0.483537
21,0.674155,0.45906,0.291254,0.182692,0.43301893006960551,0.618931,0.000505018,1.4143192366917927,0.244358,0.542502,2017-08-12 20:09:14.271746,2017-08-12 19:56:57.022217,0.617524,0.38794,0.229228,0.134489,0.40431883111000061,0.438342,1.6054520183563232,0.208064,0.483537
22,0.677852,0.461751,0.29264,0.182795,0.43453005537986755,0.629585,0.000505018,1.4028938374837239,0.245661,0.542592,2017-08-12 20:33:30.234523,2017-08-12 20:09:14.273146,0.618242,0.383097,0.227089,0.132869,0.40528673090934753,0.436166,1.5786459636688233,0.211007,0.481951
23,0.677852,0.461751,0.29264,0.182795,0.43585117867787682,0.629585,0.000505018,1.4002991649627685,0.245661,0.542592,2017-08-12 20:45:47.249397,2017-08-12 20:33:30.235905,0.618242,0.383097,0.227089,0.132869,0.40194098982810972,0.436166,1.6059467815399171,0.211007,0.481951
24,0.683338,0.471694,0.304941,0.194066,0.43800301005045572,0.647425,0.000505018,1.3871438423156739,0.25083,0.548627,2017-08-12 21:09:56.673447,2017-08-12 20:45:47.251114,0.619487,0.387062,0.233163,0.141067,0.40469224786758423,0.455287,1.6099173141479493,0.213517,0.486136
25,0.683338,0.471694,0.304941,0.194066,0.43875973548889158,0.647425,0.000505018,1.3823577659606934,0.25083,0.548627,2017-08-12 21:22:13.371450,2017-08-12 21:09:56.675411,0.619487,0.387062,0.233163,0.141067,0.4055714286804199,0.455287,1.5944129829406739,0.213517,0.486136
26,0.689161,0.476659,0.308987,0.1973,0.440777374458313,0.665152,0.000505018,1.3791869853337606,0.252022,0.550524,2017-08-12 21:46:22.948345,2017-08-12 21:22:13.372638,0.629226,0.394843,0.236538,0.139794,0.4045447663784027,0.458025,1.6157783695220946,0.212595,0.48743
27,0.689161,0.476659,0.308987,0.1973,0.44981476960182187,0.665152,0.000151505,1.3353935670216879,0.252022,0.550524,2017-08-12 21:58:39.184250,2017-08-12 21:46:23.328571,0.629226,0.394843,0.236538,0.139794,0.40895227704048159,0.458025,1.5803908884048461,0.212595,0.48743
28,0.697709,0.491019,0.321516,0.207252,0.45300084495544435,0.707633,0.000151505,1.3264350179036459,0.259582,0.562807,2017-08-12 22:22:49.480416,2017-08-12 21:58:39.185446,0.626,0.390328,0.230863,0.137984,0.40851326637268065,0.449736,1.6035314098358153,0.21287,0.486282
29,0.697709,0.491019,0.321516,0.207252,0.45418070192337034,0.707633,0.000151505,1.3209494318644206,0.259582,0.562807,2017-08-12 22:35:07.385463,2017-08-12 22:22:49.481911,0.626,0.390328,0.230863,0.137984,0.40872165842056274,0.449736,1.6025703140258789,0.21287,0.486282
30,0.702212,0.494865,0.324782,0.209267,0.45826082936922707,0.71488,4.54516e-05,1.3060977608998616,0.260653,0.566522,2017-08-12 22:57:58.604184,2017-08-12 22:35:07.387698,0.628459,0.398531,0.240817,0.145905,0.41061462354660033,0.473154,1.5879936168670654,0.216266,0.491235
31,0.702212,0.494865,0.324782,0.209267,0.45943547932306927,0.71488,4.54516e-05,1.3106823998769124,0.260653,0.566522,2017-08-12 23:09:17.376946,2017-08-12 22:57:58.606391,0.628459,0.398531,0.240817,0.145905,0.40822769393920899,0.473154,1.56623765335083,0.216266,0.491235
32,0.701409,0.49399,0.323873,0.209171,0.45980460570653281,0.718576,4.54516e-05,1.3003170706431071,0.261028,0.565518,2017-08-12 23:32:51.257906,2017-08-12 23:09:17.378070,0.6253,0.391514,0.233394,0.137721,0.41084500145912173,0.471859,1.5835801162719727,0.212577,0.485841
